20181204|ISCB|200|0|248|O
20190107|ISCB|185|0|370|O
20190131|ISCB|200|0|200|O
20190204|ISCB|1330|0|1330|O
20190206|ISCB|600|0|750|O
20190212|ISCB|10|0|1510|O
20190221|ISCB|100|0|188|O
20190228|ISCB|200|0|1738|O
20190322|ISCB|175|0|175|O
20190328|ISCB|15|0|15|O
20190418|ISCB|100|0|100|O
20190424|ISCB|350|0|350|O
20190522|ISCB|20|0|440|O
20190523|ISCB|5625|0|5900|O
20190611|ISCB|1088|0|2738|O
20190612|ISCB|15|0|15|O
20190627|ISCB|9|0|18|O
20190628|ISCB|100|0|103|O
20190701|ISCB|500|0|500|O
20190717|ISCB|200|0|2200|O
20190718|ISCB|300|0|600|O
20190722|ISCB|72|0|144|O
20190731|ISCB|100|0|100|O
20190802|ISCB|100|0|175|O
20190819|ISCB|700|0|1900|O
20190930|ISCB|300|0|600|O
20191004|ISCB|2910|0|3010|O
20191007|ISCB|1800|0|4500|O
20191008|ISCB|100|0|100|O
20191014|ISCB|400|0|400|O
